knots	drag
89.199	0.262
89.299	0.262
89.399	0.263
89.499	0.264
89.599	0.264
89.699	0.265
89.799	0.265
89.899	0.266
89.999	0.266
90.099	0.267
90.199	0.268
90.299	0.268
90.399	0.269
90.499	0.269
90.599	0.270
90.699	0.270
90.799	0.271
90.899	0.272
90.999	0.272
91.099	0.273
91.199	0.273
91.299	0.274
91.399	0.274
91.499	0.275
91.599	0.276
91.699	0.276
91.799	0.277
91.899	0.277
91.999	0.278
92.099	0.278
92.199	0.279
92.299	0.280
92.399	0.280
92.499	0.281
92.599	0.281
92.699	0.282
92.799	0.282
92.899	0.283
92.999	0.284
93.099	0.284
93.199	0.285
93.299	0.285
93.399	0.286
93.499	0.287
93.599	0.287
93.699	0.288
93.799	0.288
93.899	0.289
93.999	0.290
94.099	0.290
94.199	0.291
94.299	0.291
94.399	0.292
94.499	0.292
94.599	0.293
94.699	0.294
94.799	0.294
94.899	0.295
94.999	0.295
95.099	0.296
95.199	0.297
95.299	0.297
95.399	0.298
95.499	0.298
95.599	0.299
95.699	0.300
95.799	0.300
95.899	0.301
95.999	0.301
96.099	0.302
96.199	0.303
96.299	0.303
96.399	0.304
96.499	0.304
96.599	0.305
96.699	0.306
96.799	0.306
96.899	0.307
96.999	0.307
97.099	0.308
97.199	0.309
97.299	0.309
97.399	0.310
97.499	0.310
97.599	0.311
97.699	0.312
97.799	0.312
97.899	0.313
97.999	0.313
98.099	0.314
98.199	0.315
98.299	0.315
98.399	0.316
98.499	0.317
98.599	0.317
98.699	0.318
98.799	0.318
98.899	0.319
98.999	0.320
99.099	0.320
99.199	0.321
99.299	0.321
99.399	0.322
99.499	0.323
99.599	0.323
99.699	0.324
99.799	0.325
99.899	0.325
99.999	0.326
