knots	drag
94.799	0.229
94.899	0.230
94.999	0.230
95.099	0.230
95.199	0.231
95.299	0.231
95.399	0.231
95.499	0.232
95.599	0.232
95.699	0.233
95.799	0.233
95.899	0.233
95.999	0.234
96.099	0.234
96.199	0.235
96.299	0.235
96.399	0.235
96.499	0.236
96.599	0.236
96.699	0.237
96.799	0.237
96.899	0.237
96.999	0.238
97.099	0.238
97.199	0.239
97.299	0.239
97.399	0.239
97.499	0.240
97.599	0.240
97.699	0.241
97.799	0.241
97.899	0.241
97.999	0.242
98.099	0.242
98.199	0.243
98.299	0.243
98.399	0.243
98.499	0.244
98.599	0.244
98.699	0.245
98.799	0.245
98.899	0.245
98.999	0.246
99.099	0.246
99.199	0.247
99.299	0.247
99.399	0.248
99.499	0.248
99.599	0.248
99.699	0.249
99.799	0.249
99.899	0.250
99.999	0.250
